A,Shift_Amt,ExpRes
0,0,0
0,1,0
1,0,1
2,0,2
4,0,4
8,0,8
16,0,16
32,0,32
64,0,64
128,0,128
256,0,256
512,0,512
1024,0,1024
2048,0,2048
4096,0,4096
8192,0,8192
16384,0,16384
32768,0,32768
65536,0,65536
131072,0,131072
262144,0,262144
524288,0,524288
1048576,0,1048576
2097152,0,2097152
4194304,0,4194304
8388608,0,8388608
16777216,0,16777216
33554432,0,33554432
67108864,0,67108864
134217728,0,134217728
268435456,0,268435456
536870912,0,536870912
1073741824,0,1073741824
2147483648,0,2147483648
1,1,256
2,1,512
4,1,1024
8,1,2048
16,1,4096
32,1,8192
64,1,16384
128,1,32768
256,1,65536
512,1,131072
1024,1,262144
2048,1,524288
4096,1,1048576
8192,1,2097152
16384,1,4194304
32768,1,8388608
65536,1,16777216
131072,1,33554432
262144,1,67108864
524288,1,134217728
1048576,1,268435456
2097152,1,536870912
4194304,1,1073741824
8388608,1,2147483648
16777216,1,0
33554432,1,0
67108864,1,0
134217728,1,0
268435456,1,0
536870912,1,0
1073741824,1,0
2147483648,1,0
